SPEC,COMMONNAME,SCINAME,SPEC6,CONF6,CONF,SP,Sort Order,Order,Family,Subfamily
WEGU,Western Gull,Larus occidentalis,LAROCC,,,,517,Charadriiformes,Laridae,Larinae
WGWH,Western X Glaucous-winged Gull Hybrid,Larus occid. x gluaces.,LAROCG,,,+,518,Charadriiformes,Laridae,
YFGU,Yellow-footed Gull,Larus livens,LARLIV,,,,519,Charadriiformes,Laridae,Larinae
CAGU,California Gull,Larus californicus,LARCAL,,,,520,Charadriiformes,Laridae,Larinae
HERG,Herring Gull,Larus argentatus,LARARG,,*,,521,Charadriiformes,Laridae,Larinae
YLGU,Yellow-legged Gull,Larus michahellis,LARMIC,,,,522,Charadriiformes,Laridae,Larinae
THGU,Thayer's Gull,Larus thayeri,LARTHA,,,,523,Charadriiformes,Laridae,Larinae
ICGU,Iceland Gull,Larus glaucoides,LARGLD,*,,,524,Charadriiformes,Laridae,Larinae
LBBG,Lesser Black-backed Gull,Larus fuscus,LARFUS,,,,525,Charadriiformes,Laridae,Larinae
SBGU,Slaty-backed Gull,Larus schistisagus,LARSCH,,,,526,Charadriiformes,Laridae,Larinae
GWGU,Glaucous-winged Gull,Larus glaucescens,LARGLS,*,,,527,Charadriiformes,Laridae,Larinae
GLGU,Glaucous Gull,Larus hyperboreus,LARHYP,,,,528,Charadriiformes,Laridae,Larinae
GBBG,Great Black-backed Gull,Larus marinus,LARMAR,,,,529,Charadriiformes,Laridae,Larinae
KEGU,Kelp Gull,Larus dominicanus,LARDOM,,,,530,Charadriiformes,Laridae,Larinae
UNLG,Unidentified Larus Gull,Larus (sp),LARSPE,,,+,531,Charadriiformes,Laridae,
BRNO,Brown Noddy,Anous stolidus,ANOSTO,,,,532,Charadriiformes,Laridae,Sterninae
BLNO,Black Noddy,Anous minutus,ANOMIN,,,,533,Charadriiformes,Laridae,Sterninae
BGNO,Blue-gray Noddy,Procelsterna cerulea,PROCER,,,,534,Charadriiformes,Laridae,Sterninae
WHTT,White Tern,Gygis alba,GYGALB,,*,,535,Charadriiformes,Laridae,Sterninae
SOTE,Sooty Tern,Onychoprion fuscatus,ONYFUS,,,,536,Charadriiformes,Laridae,Sterninae
GBAT,Gray-backed Tern,Onychoprion lunatus,ONYLUN,,*,,537,Charadriiformes,Laridae,Sterninae
BRTE,Bridled Tern,Onychoprion anaethetus,ONYANA,,,,538,Charadriiformes,Laridae,Sterninae
ALTE,Aleutian Tern,Onychoprion aleuticus,ONYALE,,,,539,Charadriiformes,Laridae,Sterninae
LITE,Little Tern,Sternula albifrons,STEALB,,,,540,Charadriiformes,Laridae,Sterninae
LETE,Least Tern,Sternula antillarum,STEANT,,,,541,Charadriiformes,Laridae,Sterninae
YBTE,Yellow-billed Tern,Sternula superciliaris,STESUP,,,,542,Charadriiformes,Laridae,Sterninae
LBTE,Large-billed Tern,Phaetusa simplex,PHASIM,,,,543,Charadriiformes,Laridae,Sterninae
GBTE,Gull-billed Tern,Gelochelidon nilotica,GELNIL,,,,544,Charadriiformes,Laridae,Sterninae
CATE,Caspian Tern,Hydroprogne caspia,HYDCAS,,,,545,Charadriiformes,Laridae,Sterninae
INTE,Inca Tern,Larosterna inca,LARINC,,,,546,Charadriiformes,Laridae,Sterninae
BLTE,Black Tern,Chlidonias niger,CHLNIG,,,,547,Charadriiformes,Laridae,Sterninae
WWTE,White-winged Tern,Chlidonias leucopterus,CHLLEU,,,,548,Charadriiformes,Laridae,Sterninae
WHST,Whiskered Tern,Chlidonias hybrida,CHLHYB,,*,,549,Charadriiformes,Laridae,Sterninae
ROST,Roseate Tern,Sterna dougallii,STEDOU,,*,,550,Charadriiformes,Laridae,Sterninae
COTE,Common Tern,Sterna hirundo,STEHIR,,,,551,Charadriiformes,Laridae,Sterninae
ARTE,Arctic Tern,Sterna paradisaea,STEPAD,*,,,552,Charadriiformes,Laridae,Sterninae
FOTE,Forster's Tern,Sterna forsteri,STEFOR,,,,553,Charadriiformes,Laridae,Sterninae
ROYT,Royal Tern,Thalasseus maximus,THAMAX,,*,,554,Charadriiformes,Laridae,Sterninae
GCTE,Great Crested Tern,Thalasseus bergii,THABER,,,,555,Charadriiformes,Laridae,Sterninae
SATE,Sandwich Tern,Thalasseus sandvicensis,THASAN,,,,556,Charadriiformes,Laridae,Sterninae
ELTE,Elegant Tern,Thalasseus elegans,THAELE,,,,557,Charadriiformes,Laridae,Sterninae
BLSK,Black Skimmer,Rynchops niger,RYNNIG,,,,558,Charadriiformes,Laridae,Rynchopinae
GRSK,Great Skua,Stercorarius skua,STESKU,,,,559,Charadriiformes,Stercorariidae,
SPSK,South Polar Skua,Stercorarius maccormicki,STEMAC,,,,560,Charadriiformes,Stercorariidae,
POJA,Pomarine Jaeger,Stercorarius pomarinus,STEPOM,,,,561,Charadriiformes,Stercorariidae,
PAJA,Parasitic Jaeger,Stercorarius parasiticus,STEPAS,*,,,562,Charadriiformes,Stercorariidae,
LTJA,Long-tailed Jaeger,Stercorarius longicaudus,STELON,,,,563,Charadriiformes,Stercorariidae,
DOVE,Dovekie,Alle alle,ALLALL,,,,564,Charadriiformes,Alcidae,
COMU,Common Murre,Uria aalge,URIAAL,,,,565,Charadriiformes,Alcidae,
TBMU,Thick-billed Murre,Uria lomvia,URILOM,,,,566,Charadriiformes,Alcidae,
RAZO,Razorbill,Alca torda,ALCTOR,,,,567,Charadriiformes,Alcidae,
GRAU,Great Auk,Pinguinus impennis,PINIMP,,,,568,Charadriiformes,Alcidae,
BLGU,Black Guillemot,Cepphus grylle,CEPGRY,,,,569,Charadriiformes,Alcidae,
PIGU,Pigeon Guillemot,Cepphus columba,CEPCOL,,,,570,Charadriiformes,Alcidae,
LBMU,Long-billed Murrelet,Brachyramphus perdix,BRAPER,,,,571,Charadriiformes,Alcidae,
MAMU,Marbled Murrelet,Brachyramphus marmoratus,BRAMAR,,,,572,Charadriiformes,Alcidae,
KIMU,Kittlitz's Murrelet,Brachyramphus brevirostris,BRABRE,,,,573,Charadriiformes,Alcidae,
SCMU,Scripps's Murrelet,Synthliboramphus scrippsi,SYNSCR,,,,574,Charadriiformes,Alcidae,
GAMU,Guadalupe Murrelet,Synthliboramphus hypoleucus,SYNHYP,,,,575,Charadriiformes,Alcidae,
CRMU,Craveri's Murrelet,Synthliboramphus craveri,SYNCRA,,,,576,Charadriiformes,Alcidae,
ANMU,Ancient Murrelet,Synthliboramphus antiquus,SYNANT,,,,577,Charadriiformes,Alcidae,
CAAU,Cassin's Auklet,Ptychoramphus aleuticus,PTYALE,,,,578,Charadriiformes,Alcidae,
PAAU,Parakeet Auklet,Aethia psittacula,AETPSI,,,,579,Charadriiformes,Alcidae,
LEAU,Least Auklet,Aethia pusilla,AETPUS,,,,580,Charadriiformes,Alcidae,
WHAU,Whiskered Auklet,Aethia pygmaea,AETPYG,,,,581,Charadriiformes,Alcidae,
CRAU,Crested Auklet,Aethia cristatella,AETCRI,,,,582,Charadriiformes,Alcidae,
RHAU,Rhinoceros Auklet,Cerorhinca monocerata,CERMON,,,,583,Charadriiformes,Alcidae,
ATPU,Atlantic Puffin,Fratercula arctica,FRAARC,,,,584,Charadriiformes,Alcidae,
HOPU,Horned Puffin,Fratercula corniculata,FRACOR,,,,585,Charadriiformes,Alcidae,
TUPU,Tufted Puffin,Fratercula cirrhata,FRACIR,,,,586,Charadriiformes,Alcidae,
CBSA,Chestnut-bellied Sandgrouse,Pterocles exustus,PTEEXU,,,,587,Pteroclidiformes,Pteroclidae,
ROPI,Rock Pigeon,Columba livia,COLLIV,,,,588,Columbiformes,Columbidae,
PVPI,Pale-vented Pigeon,Patagioenas cayennensis,PATCAY,,,,589,Columbiformes,Columbidae,
SCPI,Scaled Pigeon,Patagioenas speciosa,PATSPE,,,,590,Columbiformes,Columbidae,
SNPI,Scaly-naped Pigeon,Patagioenas squamosa,PATSQU,,,,591,Columbiformes,Columbidae,
WCPI,White-crowned Pigeon,Patagioenas leucocephala,PATLEU,,,,592,Columbiformes,Columbidae,
RBPI,Red-billed Pigeon,Patagioenas flavirostris,PATFLA,,,,593,Columbiformes,Columbidae,
PLAP,Plain Pigeon,Patagioenas inornata,PATINO,,*,,594,Columbiformes,Columbidae,
BTPI,Band-tailed Pigeon,Patagioenas fasciata,PATFAS,,,,595,Columbiformes,Columbidae,
RTAP,Ring-tailed Pigeon,Patagioenas caribaea,PATCAR,,*,,596,Columbiformes,Columbidae,
PLUP,Plumbeous Pigeon,Patagioenas plumbea,PATPLU,,*,,597,Columbiformes,Columbidae,
RUDP,Ruddy Pigeon,Patagioenas subvinacea,PATSUB,,*,,598,Columbiformes,Columbidae,
SBPI,Short-billed Pigeon,Patagioenas nigrirostris,PATNIG,*,,,599,Columbiformes,Columbidae,
ORTD,Oriental Turtle-Dove,Streptopelia orientalis,STRORI,,,,600,Columbiformes,Columbidae,
AFCD,African Collared-Dove,Streptopelia roseogrisea,STRROS,,,,601,Columbiformes,Columbidae,
EUTD,European Turtle-Dove,Streptopelia turtur,STRTUR,,,,602,Columbiformes,Columbidae,
EUCD,Eurasian Collared-Dove,Streptopelia decaocto,STRDEC,,,,603,Columbiformes,Columbidae,
SPDO,Spotted Dove,Streptopelia chinensis,STRCHI,,,,604,Columbiformes,Columbidae,
ZEBD,Zebra Dove,Geopelia striata,GEOSTR,,*,,605,Columbiformes,Columbidae,
WWDO,White-winged Dove,Zenaida asiatica,ZENASI,,,,606,Columbiformes,Columbidae,
ZEND,Zenaida Dove,Zenaida aurita,ZENAUT,*,*,,607,Columbiformes,Columbidae,
EADO,Eared Dove,Zenaida auriculata,ZENAUC,*,,,608,Columbiformes,Columbidae,
MODO,Mourning Dove,Zenaida macroura,ZENMAC,,,,609,Columbiformes,Columbidae,
SODO,Socorro Dove,Zenaida graysoni,ZENGRA,,,,610,Columbiformes,Columbidae,
PAPI,Passenger Pigeon,Ectopistes migratorius,ECTMIG,,,,611,Columbiformes,Columbidae,
INDO,Inca Dove,Columbina inca,COLINC,,,,612,Columbiformes,Columbidae,
COGD,Common Ground-Dove,Columbina passerina,COLPAS,,,,613,Columbiformes,Columbidae,
PBGD,Plain-breasted Ground-Dove,Columbina minuta,COLMIN,,,,614,Columbiformes,Columbidae,
RUGD,Ruddy Ground-Dove,Columbina talpacoti,COLTAL,,,,615,Columbiformes,Columbidae,
BLGD,Blue Ground-Dove,Claravis pretiosa,CLAPRE,,,,616,Columbiformes,Columbidae,
MCGD,Maroon-chested Ground-Dove,Claravis mondetoura,CLAMON,,,,617,Columbiformes,Columbidae,
WTDO,White-tipped Dove,Leptotila verreauxi,LEPVER,,,,618,Columbiformes,Columbidae,
GHDO,Gray-headed Dove,Leptotila plumbeiceps,LEPPLU,,,,619,Columbiformes,Columbidae,
GRDO,Grenada Dove,Leptotila wellsi,LEPWEL,,,,620,Columbiformes,Columbidae,
CADO,Caribbean Dove,Leptotila jamaicensis,LEPJAM,,,,621,Columbiformes,Columbidae,
GCDO,Gray-chested Dove,Leptotila cassini,LEPCAS,,,,622,Columbiformes,Columbidae,
OBQD,Olive-backed Quail-Dove,Geotrygon veraguensis,GEOVEG,*,,,623,Columbiformes,Columbidae,
KWQD,Key West Quail-Dove,Geotrygon chrysia,GEOCHR,,,,624,Columbiformes,Columbidae,
BRQD,Bridled Quail-Dove,Geotrygon mystacea,GEOMYS,,,,625,Columbiformes,Columbidae,
WFAQ,White-faced Quail-Dove,Geotrygon albifacies,GEOALB,,*,,626,Columbiformes,Columbidae,
CHQD,Chiriqui Quail-Dove,Geotrygon chiriquensis,GEOCHI,,,,627,Columbiformes,Columbidae,
TUQD,Tuxtla Quail-Dove,Geotrygon carrikeri,GEOCAR,,,,628,Columbiformes,Columbidae,
PBQD,Purplish-backed Quail-Dove,Geotrygon lawrencii,GEOLAW,,,,629,Columbiformes,Columbidae,
BFQD,Buff-fronted Quail-Dove,Geotrygon costaricensis,GEOCOS,,,,630,Columbiformes,Columbidae,
RCQD,Russet-crowned Quail-Dove,Geotrygon goldmani,GEOGOL,,,,631,Columbiformes,Columbidae,
GFQD,Gray-fronted Quail-Dove,Geotrygon caniceps,GEOCAN,,,,632,Columbiformes,Columbidae,
WFRQ,White-fronted Quail-Dove,Geotrygon leucometopia,GEOLEU,,*,,633,Columbiformes,Columbidae,
CRQD,Crested Quail-Dove,Geotrygon versicolor,GEOVES,*,,,634,Columbiformes,Columbidae,
VIQD,Violaceous Quail-Dove,Geotrygon violacea,GEOVIO,,,,635,Columbiformes,Columbidae,
RUQD,Ruddy Quail-Dove,Geotrygon montana,GEOMON,,,,636,Columbiformes,Columbidae,
BHQD,Blue-headed Quail-Dove,Starnoenas cyanocephala,STACYA,,,,637,Columbiformes,Columbidae,
COCU,Common Cuckoo,Cuculus canorus,CUCCAN,,,,638,Cuculiformes,Cuculidae,Cuculinae
ORCU,Oriental Cuckoo,Cuculus optatus,CUCOPT,,,,639,Cuculiformes,Cuculidae,Cuculinae
LITC,Little Cuckoo,Coccycua minuta,COCMIT,*,*,,640,Cuculiformes,Cuculidae,Cuculinae
SQCU,Squirrel Cuckoo,Piaya cayana,PIACAY,,,,641,Cuculiformes,Cuculidae,Cuculinae
DBCU,Dark-billed Cuckoo,Coccyzus melacoryphus,COCMEL,,,,642,Cuculiformes,Cuculidae,Cuculinae
YBCU,Yellow-billed Cuckoo,Coccyzus americanus,COCAME,,,,643,Cuculiformes,Cuculidae,Cuculinae
PBCU,Pearly-breasted Cuckoo,Coccyzus euleri,COCEUL,,,,644,Cuculiformes,Cuculidae,Cuculinae
MACU,Mangrove Cuckoo,Coccyzus minor,COCMIR,*,,,645,Cuculiformes,Cuculidae,Cuculinae
COCC,Cocos Cuckoo,Coccyzus ferrugineus,COCFER,,*,,646,Cuculiformes,Cuculidae,Cuculinae
BBCU,Black-billed Cuckoo,Coccyzus erythropthalmus,COCERY,,,,647,Cuculiformes,Cuculidae,Cuculinae
CBCU,Chestnut-bellied Cuckoo,Coccyzus pluvialis,COCPLU,,,,648,Cuculiformes,Cuculidae,Cuculinae
BBRC,Bay-breasted Cuckoo,Coccyzus rufigularis,COCRUF,,*,,649,Cuculiformes,Cuculidae,Cuculinae
JALC,Jamaican Lizard-Cuckoo,Coccyzus vetula,COCVET,,,,650,Cuculiformes,Cuculidae,Cuculinae
PRLC,Puerto Rican Lizard-Cuckoo,Coccyzus vieilloti,COCVIE,,,,651,Cuculiformes,Cuculidae,Cuculinae
GRLC,Great Lizard-Cuckoo,Coccyzus merlini,COCMER,,,,652,Cuculiformes,Cuculidae,Cuculinae
HILC,Hispaniolan Lizard-Cuckoo,Coccyzus longirostris,COCLON,,,,653,Cuculiformes,Cuculidae,Cuculinae
STCU,Striped Cuckoo,Tapera naevia,TAPNAE,,,,654,Cuculiformes,Cuculidae,Neomorphinae
PHCU,Pheasant Cuckoo,Dromococcyx phasianellus,DROPHA,,,,655,Cuculiformes,Cuculidae,Neomorphinae
LEGC,Lesser Ground-Cuckoo,Morococcyx erythropygus,MORERY,,,,656,Cuculiformes,Cuculidae,Neomorphinae
LERO,Lesser Roadrunner,Geococcyx velox,GEOVEL,,,,657,Cuculiformes,Cuculidae,Neomorphinae
GRRO,Greater Roadrunner,Geococcyx californianus,GEOCAL,,,,658,Cuculiformes,Cuculidae,Neomorphinae
RVGC,Rufous-vented Ground-Cuckoo,Neomorphus geoffroyi,NEOGEO,,,,659,Cuculiformes,Cuculidae,Neomorphinae
GRTA,Greater Ani,Crotophaga major,CROMAJ,,*,,660,Cuculiformes,Cuculidae,Crotophaginae
SBAN,Smooth-billed Ani,Crotophaga ani,CROANI,,,,661,Cuculiformes,Cuculidae,Crotophaginae
GBAN,Groove-billed Ani,Crotophaga sulcirostris,CROSUL,,,,662,Cuculiformes,Cuculidae,Crotophaginae
BANO,Barn Owl,Tyto alba,TYTALB,,*,,663,Strigiformes,Tytonidae,
AFOW,Ashy-faced Owl,Tyto glaucops,TYTGLA,,,,664,Strigiformes,Tytonidae,
FLOW,Flammulated Owl,Otus flammeolus,OTUFLA,,,,665,Strigiformes,Strigidae,
ORSO,Oriental Scops-Owl,Otus sunia,OTUSUN,,,,666,Strigiformes,Strigidae,
WESO,Western Screech-Owl,Megascops kennicottii,MEGKEN,,,,667,Strigiformes,Strigidae,
EASO,Eastern Screech-Owl,Megascops asio,MEGASI,,,,668,Strigiformes,Strigidae,
BASO,Balsas Screech-Owl,Megascops seductus,MEGSED,,,,669,Strigiformes,Strigidae,
PASO,Pacific Screech-Owl,Megascops cooperi,MEGCOO,,,,670,Strigiformes,Strigidae,
WHSO,Whiskered Screech-Owl,Megascops trichopsis,MEGTRI,,,,671,Strigiformes,Strigidae,
TRSO,Tropical Screech-Owl,Megascops choliba,MEGCHO,,,,672,Strigiformes,Strigidae,
BESO,Bearded Screech-Owl,Megascops barbarus,MEGBAR,,,,673,Strigiformes,Strigidae,
VESO,Vermiculated Screech-Owl,Megascops guatemalae,MEGGUA,,,,674,Strigiformes,Strigidae,
BSSO,Bare-shanked Screech-Owl,Megascops clarkii,MEGCLA,,,,675,Strigiformes,Strigidae,
PRSO,Puerto Rican Screech-Owl,Megascops nudipes,MEGNUD,,,,676,Strigiformes,Strigidae,
BLOW,Bare-legged Owl,Gymnoglaux lawrencii,GYMLAW,,,,677,Strigiformes,Strigidae,
CROW,Crested Owl,Lophostrix cristata,LOPCRI,,,,678,Strigiformes,Strigidae,
SPEO,Spectacled Owl,Pulsatrix perspicillata,PULPER,,*,,679,Strigiformes,Strigidae,
GHOW,Great Horned Owl,Bubo virginianus,BUBVIR,,,,680,Strigiformes,Strigidae,
SNOW,Snowy Owl,Bubo scandiacus,BUBSCA,,,,681,Strigiformes,Strigidae,
NHOW,Northern Hawk Owl,Surnia ulula,SURULU,,,,682,Strigiformes,Strigidae,
NOPO,Northern Pygmy-Owl,Glaucidium gnoma,GLAGNO,,,,683,Strigiformes,Strigidae,
CRPO,Costa Rican Pygmy-Owl,Glaucidium costaricanum,GLACOS,,,,684,Strigiformes,Strigidae,
CAPO,Central American Pygmy-Owl,Glaucidium griseiceps,GLAGRI,,,,685,Strigiformes,Strigidae,
TAPO,Tamaulipas Pygmy-Owl,Glaucidium sanchezi,GLASAN,,,,686,Strigiformes,Strigidae,
CPYO,Colima Pygmy-Owl,Glaucidium palmarum,GLAPAL,,*,,687,Strigiformes,Strigidae,
FEPO,Ferruginous Pygmy-Owl,Glaucidium brasilianum,GLABRA,,,,688,Strigiformes,Strigidae,
CUPO,Cuban Pygmy-Owl,Glaucidium siju,GLASIJ,,,,689,Strigiformes,Strigidae,
ELOW,Elf Owl,Micrathene whitneyi,MICWHI,,,,690,Strigiformes,Strigidae,
BUOW,Burrowing Owl,Athene cunicularia,ATHCUN,,,,691,Strigiformes,Strigidae,
MOOW,Mottled Owl,Ciccaba virgata,CICVIR,,,,692,Strigiformes,Strigidae,
BLWO,Black-and-white Owl,Ciccaba nigrolineata,CICNIG,,*,,693,Strigiformes,Strigidae,
SPOW,Spotted Owl,Strix occidentalis,STROCC,,,,694,Strigiformes,Strigidae,
SBOH,Spotted x Barred Owl Hybrid,Strix occiden. x varia,STROCV,,,+,695,Strigiformes,Strigidae,
BADO,Barred Owl,Strix varia,STRVAR,,*,,696,Strigiformes,Strigidae,
FUOW,Fulvous Owl,Strix fulvescens,STRFUL,,,,697,Strigiformes,Strigidae,
GGOW,Great Gray Owl,Strix nebulosa,STRNEB,,,,698,Strigiformes,Strigidae,
LEOW,Long-eared Owl,Asio otus,ASIOTU,,,,699,Strigiformes,Strigidae,
STOW,Stygian Owl,Asio stygius,ASISTY,,,,700,Strigiformes,Strigidae,
SEOW,Short-eared Owl,Asio flammeus,ASIFLA,,,,701,Strigiformes,Strigidae,
STRO,Striped Owl,Pseudoscops clamator,PSECLA,,*,,702,Strigiformes,Strigidae,
JAOW,Jamaican Owl,Pseudoscops grammicus,PSEGRA,,,,703,Strigiformes,Strigidae,
BOOW,Boreal Owl,Aegolius funereus,AEGFUN,,,,704,Strigiformes,Strigidae,
NSWO,Northern Saw-whet Owl,Aegolius acadicus,AEGACA,,,,705,Strigiformes,Strigidae,
USWO,Unspotted Saw-whet Owl,Aegolius ridgwayi,AEGRID,,,,706,Strigiformes,Strigidae,
BRHO,Brown Hawk-Owl,Ninox scutulata,NINSCU,,,,707,Strigiformes,Strigidae,
UNOW,Unidentified Owl,"Strigidae (gen, sp)",STRGSP,,,+,708,Strigiformes,Strigidae,
SHTN,Short-tailed Nighthawk,Lurocalis semitorquatus,LURSEM,,*,,709,Caprimulgiformes,Caprimulgidae,Chordeilinae
LENI,Lesser Nighthawk,Chordeiles acutipennis,CHOACU,,,,710,Caprimulgiformes,Caprimulgidae,Chordeilinae
CONI,Common Nighthawk,Chordeiles minor,CHOMIN,,,,711,Caprimulgiformes,Caprimulgidae,Chordeilinae
ANNI,Antillean Nighthawk,Chordeiles gundlachii,CHOGUN,,,,712,Caprimulgiformes,Caprimulgidae,Chordeilinae
COPA,Common Pauraque,Nyctidromus albicollis,NYCALB,,,,713,Caprimulgiformes,Caprimulgidae,Caprimulginae
COPO,Common Poorwill,Phalaenoptilus nuttallii,PHANUT,,,,714,Caprimulgiformes,Caprimulgidae,Caprimulginae
JAPA,Jamaican Pauraque,Siphonorhis americana,SIPAME,,,,715,Caprimulgiformes,Caprimulgidae,Caprimulginae
LEPA,Least Pauraque,Siphonorhis brewsteri,SIPBRE,,,,716,Caprimulgiformes,Caprimulgidae,Caprimulginae
EAPO,Eared Poorwill,Nyctiphrynus mcleodii,NYCMCL,,,,717,Caprimulgiformes,Caprimulgidae,Caprimulginae
YUPO,Yucatan Poorwill,Nyctiphrynus yucatanicus,NYCYUC,,,,718,Caprimulgiformes,Caprimulgidae,Caprimulginae
OCPO,Ocellated Poorwill,Nyctiphrynus ocellatus,NYCOCE,,,,719,Caprimulgiformes,Caprimulgidae,Caprimulginae
CWWI,Chuck-will's-widow,Antrostomus carolinensis,ANTCAR,,,,720,Caprimulgiformes,Caprimulgidae,Caprimulginae
RUNI,Rufous Nightjar,Antrostomus rufus,ANTRUF,,,,721,Caprimulgiformes,Caprimulgidae,Caprimulginae
GANI,Greater Antillean Nightjar,Antrostomus cubanensis,ANTCUB,,,,722,Caprimulgiformes,Caprimulgidae,Caprimulginae
TCNI,Tawny-collared Nightjar,Antrostomus salvini,ANTSAL,,,,723,Caprimulgiformes,Caprimulgidae,Caprimulginae
YUNI,Yucatan Nightjar,Antrostomus badius,ANTBAD,,,,724,Caprimulgiformes,Caprimulgidae,Caprimulginae
BCNI,Buff-collared Nightjar,Antrostomus ridgwayi,ANTRID,,,,725,Caprimulgiformes,Caprimulgidae,Caprimulginae
EWPW,Eastern Whip-poor-will,Antrostomus vociferus,ANTVOC,,,,726,Caprimulgiformes,Caprimulgidae,Caprimulginae
DUNI,Dusky Nightjar,Antrostomus saturatus,ANTSAT,,,,727,Caprimulgiformes,Caprimulgidae,Caprimulginae
MWPW,Mexican Whip-poor-will,Antrostomus arizonae,ANTARI,,,,728,Caprimulgiformes,Caprimulgidae,Caprimulginae
PRNI,Puerto Rican Nightjar,Antrostomus noctitherus,ANTNOC,,,,729,Caprimulgiformes,Caprimulgidae,Caprimulginae
WTNI,White-tailed Nightjar,Hydropsalis cayennensis,HYDCAY,,,,730,Caprimulgiformes,Caprimulgidae,Caprimulginae
SPTN,Spot-tailed Nightjar,Hydropsalis maculicaudus,HYDMAD,*,*,,731,Caprimulgiformes,Caprimulgidae,Caprimulginae
GRNI,Gray Nightjar,Caprimulgus indicus,CAPIND,,,,732,Caprimulgiformes,Caprimulgidae,Caprimulginae
GRPO,Great Potoo,Nyctibius grandis,NYCGRA,,,,733,Caprimulgiformes,Nyctibiidae,
CPOT,Common Potoo,Nyctibius griseus,NYCGRI,,*,,734,Caprimulgiformes,Nyctibiidae,
NORP,Northern Potoo,Nyctibius jamaicensis,NYCJAM,,*,,735,Caprimulgiformes,Nyctibiidae,
OILB,Oilbird,Steatornis caripensis,STECAR,,,,736,Caprimulgiformes,Steatornithidae,
BLSW,Black Swift,Cypseloides niger,CYPNIG,,,,737,Apodiformes,Apodidae,Cypseloidinae
WFSW,White-fronted Swift,Cypseloides storeri,CYPSTO,,,,738,Apodiformes,Apodidae,Cypseloidinae
WCHS,White-chinned Swift,Cypseloides cryptus,CYPCRY,,*,,739,Apodiformes,Apodidae,Cypseloidinae
SFSW,Spot-fronted Swift,Cypseloides cherriei,CYPCHE,,,,740,Apodiformes,Apodidae,Cypseloidinae
CCSW,Chestnut-collared Swift,Streptoprocne rutila,STRRUT,,,,741,Apodiformes,Apodidae,Cypseloidinae
WCSW,White-collared Swift,Streptoprocne zonaris,STRZON,,,,742,Apodiformes,Apodidae,Cypseloidinae
WNSW,White-naped Swift,Streptoprocne semicollaris,STRSEM,,,,743,Apodiformes,Apodidae,Cypseloidinae
CHSW,Chimney Swift,Chaetura pelagica,CHAPEL,,,,744,Apodiformes,Apodidae,Chaeturinae
VASW,Vaux's Swift,Chaetura vauxi,CHAVAU,,,,745,Apodiformes,Apodidae,Chaeturinae
CHAS,Chapman's Swift,Chaetura chapmani,CHACHA,,*,,746,Apodiformes,Apodidae,Chaeturinae
STSW,Short-tailed Swift,Chaetura brachyura,CHABRA,,,,747,Apodiformes,Apodidae,Chaeturinae
SISW,Sick's Swift,Chaetura meridionalis,CHAMER,,,,748,Apodiformes,Apodidae,Chaeturinae
BRSW,Band-rumped Swift,Chaetura spinicaudus,CHASPI,,,,749,Apodiformes,Apodidae,Chaeturinae
CRSW,Costa Rican Swift,Chaetura fumosa,CHAFUM,,,,750,Apodiformes,Apodidae,Chaeturinae
GRSW,Gray-rumped Swift,Chaetura cinereiventris,CHACIN,,,,751,Apodiformes,Apodidae,Chaeturinae
LASW,Lesser Antillean Swift,Chaetura martinica,CHAMAR,,,,752,Apodiformes,Apodidae,Chaeturinae
WTNE,White-throated Needletail,Hirundapus caudacutus,HIRCAU,,,,753,Apodiformes,Apodidae,Chaeturinae
MASW,Mariana Swiftlet,Aerodramus bartschi,AERBAR,,,,754,Apodiformes,Apodidae,Chaeturinae
COSW,Common Swift,Apus apus,APUAPU,,,,755,Apodiformes,Apodidae,Apodinae
FTSW,Fork-tailed Swift,Apus pacificus,APUPAC,,,,756,Apodiformes,Apodidae,Apodinae
ALSW,Alpine Swift,Apus melba,APUMEL,,,,757,Apodiformes,Apodidae,Apodinae
WTSW,White-throated Swift,Aeronautes saxatalis,AERSAX,,,,758,Apodiformes,Apodidae,Apodinae
LSTS,Lesser Swallow-tailed Swift,Panyptila cayennensis,PANCAY,,,,759,Apodiformes,Apodidae,Apodinae
GSTS,Great Swallow-tailed Swift,Panyptila sanctihieronymi,PANSAN,,,,760,Apodiformes,Apodidae,Apodinae
ANPS,Antillean Palm-Swift,Tachornis phoenicobia,TACPHO,,,,761,Apodiformes,Apodidae,Apodinae
WNJA,White-necked Jacobin,Florisuga mellivora,FLOMEL,,,,762,Apodiformes,Trochilidae,Topazinae
WTSI,White-tipped Sicklebill,Eutoxeres aquila,EUTAQU,,,,763,Apodiformes,Trochilidae,Phaethornithinae
BRHE,Bronzy Hermit,Glaucis aeneus,GLAAEN,,,,764,Apodiformes,Trochilidae,Phaethornithinae
RBHE,Rufous-breasted Hermit,Glaucis hirsutus,GLAHIR,,,,765,Apodiformes,Trochilidae,Phaethornithinae
BTBA,Band-tailed Barbthroat,Threnetes ruckeri,THRRUC,,,,766,Apodiformes,Trochilidae,Phaethornithinae
GREH,Green Hermit,Phaethornis guy,PHAGUY,,*,,767,Apodiformes,Trochilidae,Phaethornithinae
LBIH,Long-billed Hermit,Phaethornis longirostris,PHALON,,*,,768,Apodiformes,Trochilidae,Phaethornithinae
